img_url,part_name,part_cat_name,color_name,rgb
https://cdn.rebrickable.com/media/parts/elements/4124096.jpg,Hinge Brick 2 x 2 Top Plate Thin,"Hinges, Arms and Turntables",Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4278069.jpg,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/663626.jpg,Tile 1 x 6 with Groove,Tiles,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4211210.jpg,Brick 2 x 2,Bricks,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/elements/4211210.jpg,Brick 2 x 2,Bricks,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/elements/4211385.jpg,Brick 2 x 4,Bricks,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/6178492.jpg,Tile Round 1 x 1 with Hollow Bar,Tiles Special,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/447724.jpg,Plate 1 x 10,Plates,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/4586557.jpg,Tile 1 x 4 with Groove,Tiles,Trans-Light Blue,AEEFEC
https://cdn.rebrickable.com/media/parts/elements/655826.jpg,"Technic Pin Long with Friction Ridges Lengthwise, 2 Center Slots",Technic Pins,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4211109.jpg,Brick 2 x 2 Corner,Bricks,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/300426.jpg,Brick 1 x 2,Bricks,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/6195358.jpg,"Tile 4 x 4 Curved, Macaroni",Tiles Round and Curved,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/242023.jpg,Plate 2 x 2 Corner,Plates,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/4528136.jpg,Window 1 x 2 x 3 Pane with Thick Corner Tabs,Windows and Doors,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/366601.jpg,Plate 1 x 6,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/6092572.jpg,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),Plates Special,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/4189110.jpg,Technic Axle Pin with Friction Ridges Lengthwise,Technic Pins,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/302301.jpg,Plate 1 x 2,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4274674.jpg,Technic Beam 2 x 4 Fork with Pin,Technic Beams Special,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/300401.jpg,Brick 1 x 2,Bricks,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4619636.jpg,Tile Special 1 x 2 Grille with Bottom Groove,Tiles Special,Flat Silver,898788
https://cdn.rebrickable.com/media/parts/elements/4514560.jpg,Tyre 21 x 12 with Offset Tread Small Wide and Beveled Tread Edge,Wheels and Tyres,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4610374.jpg,Technic Steering / CV Joint Axle,"Technic Steering, Suspension and Engine",Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/4109810.jpg,Technic Axle 2 Notched,Technic Axles,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4569624.jpg,Brick 1 x 1,Bricks,Medium Nougat,AA7D55
https://cdn.rebrickable.com/media/parts/elements/73587.jpg,Lever Small Base with Black Lever,"Bars, Ladders and Fences",Black,05131D
https://cdn.rebrickable.com/media/parts/elements/300626.jpg,Brick 2 x 10,Bricks,Black,05131D
https://cdn.rebrickable.com/media/parts/ldraw/334/2412b.png,Tile Special 1 x 2 Grille with Bottom Groove,Tiles Special,Chrome Gold,BBA53D
https://cdn.rebrickable.com/media/parts/ldraw/1/3003.png,Brick 2 x 2 without Inside Ridges,Bricks,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/4667166.jpg,Plate Special 1 x 4 with Coupling Link Double,Plates Special,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4211388.jpg,Brick 1 x 2,Bricks,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4244372.jpg,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/6223631.jpg,Slope Double 45° 1 x 1,Bricks Sloped,Orange,FE8A18
https://cdn.rebrickable.com/media/parts/elements/6209519.jpg,Technic Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle,Technic Pins,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/4278069.jpg,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/301024.jpg,Brick 1 x 4,Bricks,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/4142865.jpg,Technic Axle 2 Notched,Technic Axles,Red,C91A09
https://cdn.rebrickable.com/media/parts/ldraw/14/3003.png,Brick 2 x 2 without Inside Ridges,Bricks,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/302101.jpg,Plate 2 x 3,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/302401.jpg,Plate 1 x 1,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4142543.jpg,Technic Beam Triangle Thin [Type I],Technic Beams,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4209383.jpg,Brick 1 x 1,Bricks,Dark Red,720E0F
https://cdn.rebrickable.com/media/parts/elements/245601.jpg,Brick 2 x 6,Bricks,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/4209383.jpg,Brick 1 x 1,Bricks,Dark Red,720E0F
https://cdn.rebrickable.com/media/parts/elements/471501.jpg,Equipment Stretcher Wheels,Minifig Accessories,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/6100627.jpg,Plate Round 1 x 1 with Open Stud,Plates Round Curved and Dishes,Black,05131D
https://cdn.rebrickable.com/media/parts/ldraw/0/3003.png,Brick 2 x 2 without Inside Ridges,Bricks,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/6196548.jpg,Plate Round 1 x 1 with Hollow Stud and Horizontal Bar 1L,Plates Special,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/6045909.jpg,"Technic Brick Modified 2 x 2 with Ball and Axle Hole, with 6 Holes in Ball",Technic Special,Dark Brown,352100
https://cdn.rebrickable.com/media/parts/elements/4118793.jpg,Brick Special 1 x 1 with Headlight,Bricks Special,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/4211486.jpg,Plate 2 x 16,Plates,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4162582.jpg,Plate 1 x 2,Plates,Dark Red,720E0F
https://cdn.rebrickable.com/media/parts/elements/4211388.jpg,Brick 1 x 2,Bricks,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/300221.jpg,Brick 2 x 3,Bricks,Red,C91A09
https://cdn.rebrickable.com/media/parts/ldraw/1/3003.png,Brick 2 x 2 without Inside Ridges,Bricks,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/304024.jpg,Slope 45° 2 x 1 with Bottom Pin,Bricks Sloped,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/6168615.jpg,"Bracket 1 x 2 - 1 x 4 [Rounded Corners at Bottom, Square Corners at Top]",Plates Special,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/6055086.jpg,Brick Arch 1 x 3 x 3 [Gothic],Bricks Curved,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/elements/300121.jpg,Brick 2 x 4,Bricks,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/244502.jpg,Plate 2 x 12,Plates,Light Gray,9BA19D
https://cdn.rebrickable.com/media/parts/elements/4189110.jpg,Technic Axle Pin with Friction Ridges Lengthwise,Technic Pins,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/306540.jpg,Brick 1 x 2 without Bottom Tube,Bricks,Trans-Clear,FCFCFC
https://cdn.rebrickable.com/media/parts/elements/6236425.jpg,Brick Special Arch 1 1/2 x 1 1/2 Corner,Bricks Curved,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/4243797.jpg,Plate 4 x 4,Plates,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4160869.jpg,Wedge Plate 4 x 2 Right,Plates Angled,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4650260.jpg,Tile Round 1 x 1,Tiles Round and Curved,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4124278.jpg,Technic Beam 2 x 4 L-Shape Thick,Technic Beams,Blue,0055BF
https://cdn.rebrickable.com/media/parts/elements/245028.jpg,Wedge Plate 3 x 3 Cut Corner,Plates Angled,Green,237841
https://cdn.rebrickable.com/media/parts/elements/4211438.jpg,Plate 1 x 6,Plates,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/6248890.jpg,Plate Special 1 x 2 Rounded with 2 Open Studs,Plates Round Curved and Dishes,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/302401.jpg,Plate 1 x 1,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/6225494.jpg,Bracket 1 x 1 - 1 x 1 Inverted,Plates Special,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/371026.jpg,Plate 1 x 4,Plates,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4263949.jpg,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,Black,05131D
https://cdn.rebrickable.com/media/parts/ldraw/15/3001.png,Brick 2 x 4 without Cross Supports,Bricks,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/6145570.jpg,Tile Round 1 x 1 Quarter,Tiles Round and Curved,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/6279875.jpg,Technic Pin with Friction Ridges Lengthwise with No Center Slots,Technic Pins,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4143539.jpg,Technic Ball Joint,Technic Special,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/74156.jpg,Lever Small Base with Black Lever,"Bars, Ladders and Fences",Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/4211104.jpg,Brick 1 x 3,Bricks,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/ldraw/15/3794a.png,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),Plates Special,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/302001.jpg,Plate 2 x 4,Plates,White,FFFFFF
https://cdn.rebrickable.com/media/parts/elements/451926.jpg,Technic Axle 3,Technic Axles,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4497086.jpg,Plate 1 x 3,Plates,Dark Tan,958A73
https://cdn.rebrickable.com/media/parts/elements/4211395.jpg,Plate 2 x 4,Plates,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4211394.jpg,Brick 1 x 4,Bricks,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4278069.jpg,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,Tan,E4CD9E
https://cdn.rebrickable.com/media/parts/elements/4523159.jpg,Plate Round 1 x 1 with Solid Stud,Plates Round Curved and Dishes,Pearl Gold,AA7F2E
https://cdn.rebrickable.com/media/parts/elements/4211210.jpg,Brick 2 x 2,Bricks,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/elements/4221744.jpg,Plate 1 x 1,Plates,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/elements/6372124.jpg,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,Bright Light Blue,9FC3E9
https://cdn.rebrickable.com/media/parts/elements/370126.jpg,Technic Brick 1 x 4 [3 Pin Holes],Technic Bricks,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/300324.jpg,Brick 2 x 2,Bricks,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/4200798.jpg,Panel 1 x 2 x 1 [Square Corners],Panels,Trans-Brown,635F52
https://cdn.rebrickable.com/media/parts/elements/4155256.jpg,Plate 2 x 2,Plates,Sand Green,A0BCAC
https://cdn.rebrickable.com/media/parts/elements/6019570.jpg,Rock 1 x 1 Crystal 4 Point,Rock,Trans-Light Blue,AEEFEC
